Regulating Agency	Water System Number	Water System Name	System Status	Federal Water System Classification	State Water System Classification	Principal County Served	Population Served	Service Connections	PS Code	Sampling Point Name	Facility Type	Facility Status	Sample Type	Sample Date	Sample Time	Analysis Date	ELAP Cert#	Lab Name	Analyte Code	Analyte Name	Result	Counting Error	Units of Measure	Less Than Reporting Level	Reporting Level	DLR	MCL	Method
DISTRICT 02 - LASSEN	CA3200107	GRIZZLY LAKE CSD-CROCKER/WELCH	A	C	C	PLUMAS	215	73	CA3200107_002_002	CROCKER MOUNTAIN WELL	WL	A	RT	11-17-2020	11:30:00	11-18-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1085	THALLIUM, TOTAL			UG/L	Y	1.000000000	1	2	
DISTRICT 02 - LASSEN	CA3210001	IVCSD-GREENVILLE	A	C	C	PLUMAS	630	220	CA3210001_006_006	WELL 2 - RAW	WL	A	RT	05-04-2022	11:14:00	05-11-2022	1677	BASIC LABORATORY (REDDING)	1028	IRON			UG/L	Y	50.000000000		300	EPA 200.7
LPA62 - PLUMAS COUNTY	CA3200111	FEATHER RIVER COMMUNITY COLLEGE	A	NTNC	NTNC	PLUMAS	600	300	CA3200111_001_001	WELL 01 (FOOTBALL FIELD)	WL	A	RT	04-26-2022	11:34:00	04-28-2022	1677	BASIC LABORATORY (REDDING)	1040	NITRATE	0.80		MG/L	N	0.050000000	.4	10	EPA 353.2
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	10-02-2019	11:45:00	10-03-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2978	1,1-DICHLOROETHANE			UG/L	Y	0.500000000	.5	5	
DISTRICT 02 - LASSEN	CA3210006	LAKE ALMANOR COUNTRY CLUB MWC	A	C	C	PLUMAS	6000	1721	CA3210006_005_005	WELLS 02, 03, & 04-REPRESENTATIVE	WL	A	RT	07-15-2020	10:47:00	07-17-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	C034	TERT-AMYL-METHYL ETHER			UG/L	Y	3.000000000			
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_002_002	WELL 06	WL	A	RT	06-12-2019	10:54:00	06-13-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1920	ODOR			TON	Y	1.000000000		3	
LPA62 - PLUMAS COUNTY	CA3200207	PLUMAS SIERRA RURAL ELECTRIC PORTOLA	I	NTNC	NTNC	PLUMAS	25	2	CA3200207_002_002	WELL 02 (INSTALLED 2001)	WL	A	RT	04-09-2019	12:03:00	04-11-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2978	1,1-DICHLOROETHANE			UG/L	Y	0.500000000	.5	5	
DISTRICT 02 - LASSEN	CA3200510	IVCSD CRESCENT MILLS	A	C	C	PLUMAS	258	75	CA3200510_DST_LCR	LCR Tap Sample	DS	A	RT	09-30-2021	07:40:00	10-19-2021	1677	BASIC LABORATORY (REDDING)	1030	LEAD			UG/L	Y	0.500000000			EPA 200.8
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_009_009	NEW NORTON WELL - STANDBY	WL	A	RT	10-06-2020	11:45:00	10-09-2020	1677	BASIC LABORATORY (REDDING)	1015	CADMIUM			UG/L	Y	1.000000000	1	5	
LPA62 - PLUMAS COUNTY	CA3200209	LAKE DAVIS RESORT	A	NP	LSS	PLUMAS	24	1	CA3200209_001_001	WELL 01	WL	A	RT	01-19-2021	11:25:00	01-26-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1021	HYDROXIDE AS CALCIUM CARBONATE			MG/L	Y	10.000000000			
