Permit #,Permitee,Site ID,Site Location,Site Name,Meridian,Township,Range,Section,Application Date,Application Time,Commodity Code,Commodity,EPA Reg No,Product Name,Quantity Used,Quantity Units,Treated Amount,Treated Units,Appl. Method,Applicator Name,Applicator License #,Applicator License Type
3202150.0,Sierra Pacific Industries Almanor Distri,290819,29N08E19,29N08E19,M,29N,08E,19.0,2024-08-20,10:00 AM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,2.0,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-20,2:30 PM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,22.0,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-20,2:30 PM,30000-0,"FOREST, TMBRLND",5905-50071-AA,DYNE-AMIC,5.5,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-20,2:30 PM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,16.5,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-20,2:30 PM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,6.0,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-20,2:30 PM,30000-0,"FOREST, TMBRLND",5905-50071-AA,DYNE-AMIC,1.5,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-20,2:30 PM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,3.0,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-20,2:30 PM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,4.5,Gallon,30.0,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-21,12:00 PM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,38.0,Gallon,62.71,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-21,12:00 PM,30000-0,"FOREST, TMBRLND",5905-50071-AA,DYNE-AMIC,9.5,Gallon,62.71,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-21,12:00 PM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,28.5,Gallon,62.71,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-21,2:30 PM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,6.0,Gallon,62.71,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-21,2:30 PM,30000-0,"FOREST, TMBRLND",5905-50071-AA,DYNE-AMIC,1.5,Gallon,62.71,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-21,2:30 PM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,3.0,Gallon,62.71,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290818,29N08E18,29N08E18,M,29N,08E,18.0,2024-08-21,2:30 PM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,4.5,Gallon,62.71,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
3202150.0,Sierra Pacific Industries Almanor Distri,290807,29N08E07,29N08E07,M,29N,08E,7.0,2024-08-22,9:30 AM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,16.0,Gallon,27.05,ACRES,Ground,HORIZON FORESTRY LLC,38448.0,PCM
